series,time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
0,1.091,0.060547,0.323975,1.229248,-8.312977,62.854962,-39.900763
0,1.097,0.219238,0.451172,1.152832,-4.129771,55.389313,-32.954198
0,1.102,0.33252,0.541992,1.220947,0.305344,52.160305,-25.80916
0,1.108,0.467285,0.637695,1.19873,2.015267,45.549618,-24.29771
0,1.113,0.540039,0.69873,1.194092,9.717557,38.992366,-18.083969
0,1.125,0.647461,0.477783,1.147705,5.450382,6.038168,-19.709924
0,1.13,0.819824,0.391602,1.044434,4.48855,-5.618321,-20.587786
0,1.136,0.848389,0.363037,1.000488,8.152672,-16.290076,-24.992366
0,1.141,0.888184,0.39624,0.977783,11.854962,-23.198473,-28.740458
0,1.147,0.911133,0.41748,0.954346,16.236641,-28.10687,-31.267176
0,1.152,0.918945,0.430908,0.99292,19.572519,-39.633588,-32.061069
0,1.163,0.882812,0.405273,1.01001,31.007634,-61.870229,-30.442748
0,1.169,0.854736,0.392822,1.040771,38.572519,-75.854962,-27.931298
0,1.175,0.784424,0.364258,0.997803,46.076336,-87.70229,-26.160305
0,1.18,0.744873,0.360596,1.008545,51.992366,-96.587786,-24.061069
0,1.191,0.629639,0.345703,0.984619,63.664122,-114.870229,-16.969466
0,1.197,0.55835,0.335205,0.973633,64.931298,-121.625954,-13.832061
0,1.202,0.498291,0.339355,1.047607,69.412214,-125.374046,-8.022901
0,1.207,0.40918,0.329346,1.016602,72.274809,-128.969466,-6.083969
0,1.219,0.274414,0.373779,0.998535,75.938931,-132.274809,1.778626
0,1.225,0.205322,0.37207,1.03833,78.969466,-131.358779,5.801527
0,1.23,0.151123,0.33252,1.009521,79.946565,-139.389313,11.396947
0,1.236,0.120605,0.295898,0.923096,76.274809,-143.648855,13.389313
0,1.241,0.053467,0.317139,0.932617,79.381679,-147.496183,17.763359
0,1.246,0.028076,0.276367,0.907471,79.931298,-153.793893,20.282443
0,1.258,-0.050781,0.286865,0.844482,82.778626,-143.526718,25.435115
0,1.264,-0.069336,0.279785,0.848633,88.641221,-140.633588,29.541985
0,1.269,-0.110596,0.278076,0.891113,87.793893,-136.473282,32.793893
0,1.275,-0.155762,0.335449,1.000977,87.496183,-138.557252,33.900763
0,1.28,-0.235596,0.254395,1.118896,95.534351,-140.938931,41.816794
0,1.291,-0.342041,0.317627,1.119629,90.167939,-141.801527,49.679389
0,1.297,-0.599854,0.389893,1.319336,87.290076,-198.541985,60.931298
0,1.303,-0.327637,0.352539,1.353271,93.381679,-152.618321,63.748092
0,1.308,-0.478516,0.43457,1.290527,88.763359,-144.70229,72.21374
0,1.313,-0.486328,0.446045,1.331055,83.175573,-125.748092,78.885496
0,1.324,-0.568115,0.478516,1.370361,71.816794,-128.10687,97.580153
0,1.33,-0.527344,0.450195,1.163086,70.053435,-128.793893,106.290076
0,1.335,-0.622803,0.352051,1.145264,61.984733,-130.053435,111.572519
0,1.342,-0.484619,0.361816,1.113281,54.770992,-121.847328,114.732824
0,1.347,-0.44873,0.278809,0.942627,51.267176,-120.312977,115.137405
0,1.358,-0.39209,0.17627,0.864746,41.916031,-102.870229,106.221374
0,1.363,-0.442627,0.12207,0.697266,40.0,-113.21374,99.290076
0,1.369,-0.432617,0.138184,0.842041,36.290076,-114.816794,92.396947
0,1.374,-0.369873,0.119629,0.762451,36.587786,-105.396947,83.679389
0,1.386,-0.324463,0.126221,0.904297,35.381679,-81.59542,62.954198
0,1.391,-0.314941,0.122803,0.70874,44.053435,-85.435115,51.396947
0,1.397,-0.460938,0.21167,0.792236,45.671756,-91.427481,41.007634
0,1.402,-0.39917,0.092041,0.915527,49.870229,-81.847328,36.320611
0,1.408,-0.449219,0.061035,0.836182,50.290076,-79.541985,23.038168
0,1.419,-0.444336,0.05835,0.816162,60.335878,-74.755725,7.175573
0,1.425,-0.40332,0.006836,0.927246,61.70229,-73.519084,0.549618
0,1.43,-0.37915,-0.033691,0.810791,63.007634,-73.503817,-4.854962
0,1.436,-0.383545,-0.052734,0.995117,61.51145,-67.473282,-10.122137
0,1.441,-0.417969,-0.043701,0.888916,60.557252,-67.061069,-15.564885
0,1.447,-0.373535,-0.021484,0.800781,58.801527,-64.328244,-18.21374
0,1.452,-0.415527,-0.010498,0.806641,56.21374,-60.755725,-18.19084
0,1.463,-0.480957,-0.020752,0.755371,47.648855,-53.480916,-15.709924
0,1.469,-0.526855,-0.026611,0.731201,41.122137,-47.984733,-13.183206
0,1.475,-0.592285,-0.034668,0.703613,33.854962,-41.70229,-9.335878
0,1.48,-0.630859,-0.032227,0.625488,25.641221,-33.732824,-5.916031
0,1.486,-0.682617,-0.01416,0.579834,18.381679,-23.610687,-1.0
0,1.491,-0.726807,-0.038086,0.55957,8.977099,-14.259542,2.122137
0,1.502,-0.812744,-0.050049,0.513184,-10.671756,6.396947,9.389313
0,1.508,-0.913574,-0.077637,0.646729,-24.641221,15.343511,14.022901
1,0.395,0.241211,0.226074,1.232666,-48.167939,30.694656,-28.526718
1,0.401,0.403809,0.328369,1.236084,-36.89313,23.496183,-25.114504
1,0.406,0.408447,0.371826,1.212646,-25.923664,19.312977,-19.801527
1,0.417,0.431885,0.506592,1.165283,-7.732824,3.908397,-9.679389
1,0.422,0.530273,0.483154,1.113525,-1.053435,-5.175573,-5.877863
1,0.429,0.583008,0.435547,1.034668,7.572519,-13.335878,-1.412214
1,0.434,0.566406,0.401367,1.08374,4.938931,-21.603053,-1.007634
1,0.44,0.636475,0.432861,0.986816,9.167939,-23.633588,2.099237
1,0.445,0.618164,0.396484,0.987549,22.122137,-30.305344,6.19084
1,0.451,0.628906,0.447998,1.03125,21.396947,-39.076336,5.206107
1,0.456,0.632324,0.451416,1.028076,16.259542,-42.793893,6.687023
1,0.461,0.631592,0.394775,0.929443,18.198473,-51.496183,7.778626
1,0.473,0.625,0.371094,0.913818,23.175573,-69.603053,9.198473
1,0.479,0.550293,0.335693,0.868164,27.931298,-76.229008,11.709924
1,0.484,0.519531,0.321289,0.972168,27.755725,-72.396947,12.412214
1,0.49,0.491943,0.265869,0.848389,39.977099,-82.412214,15.610687
1,0.495,0.366211,0.287354,0.980225,38.412214,-85.40458,16.89313
1,0.5,0.398193,0.316406,1.010498,35.801527,-84.748092,19.587786
1,0.511,0.256348,0.319824,0.974365,51.343511,-84.48855,28.709924
1,0.518,0.145508,0.299072,1.019043,48.70229,-92.877863,28.748092
1,0.523,0.089844,0.334473,0.992188,54.061069,-96.526718,31.503817
1,0.529,0.062012,0.284668,1.093262,59.0,-96.320611,35.267176
1,0.534,-0.038818,0.249512,1.082764,61.396947,-94.641221,37.984733
1,0.539,-0.146973,0.216553,1.221191,62.931298,-97.969466,39.374046
1,0.55,-0.231445,0.269043,1.102051,64.564885,-102.664122,41.633588
1,0.557,-0.278076,0.287354,1.066406,68.167939,-106.282443,45.732824
1,0.562,-0.220459,0.252686,1.112793,64.816794,-108.473282,50.068702
1,0.567,-0.268555,0.20166,1.078369,64.114504,-111.519084,50.778626
1,0.573,-0.248291,0.193848,1.104004,71.419847,-115.801527,57.541985
1,0.578,-0.289551,0.140137,1.001221,71.038168,-115.503817,56.564885
1,0.589,-0.281494,0.102539,0.830322,67.679389,-119.458015,58.557252
1,0.595,-0.30835,0.097168,0.816162,66.755725,-118.80916,60.526718
1,0.601,-0.260254,0.140625,0.802246,69.061069,-116.244275,63.21374
1,0.606,-0.355713,0.135986,0.9646,69.618321,-116.618321,65.137405
1,0.612,-0.316895,0.122314,0.752197,71.412214,-112.885496,66.374046
1,0.617,-0.409424,0.104248,0.86377,75.267176,-126.10687,70.114504
1,0.628,-0.408203,0.192627,1.024414,67.687023,-97.832061,74.503817
1,0.634,-0.462891,0.178955,0.9104,68.068702,-93.854962,77.656489
1,0.639,-0.567871,0.104004,0.962158,66.068702,-96.801527,79.801527
1,0.645,-0.660156,0.075195,1.074463,56.549618,-85.969466,79.59542
1,0.651,-0.597412,0.076172,1.054199,52.572519,-87.916031,80.610687
1,0.656,-0.662109,0.088867,1.014893,40.183206,-83.183206,79.763359
1,0.667,-0.529297,0.116943,0.961426,31.480916,-74.801527,83.977099
1,0.673,-0.483154,0.06543,0.778809,27.381679,-75.244275,81.580153
1,0.678,-0.499756,-0.00708,0.823242,21.167939,-71.328244,76.931298
1,0.683,-0.465088,-0.066895,0.710449,17.083969,-69.519084,69.816794
1,0.69,-0.421387,-0.115479,0.733643,13.183206,-64.587786,60.984733
1,0.695,-0.44043,-0.139893,0.694336,11.656489,-61.748092,51.641221
1,0.701,-0.467285,-0.148193,0.764893,8.862595,-57.442748,41.648855
1,0.712,-0.502441,-0.122314,0.731445,6.900763,-51.801527,23.366412
1,0.717,-0.434814,-0.086426,0.74707,9.564885,-44.21374,16.389313
1,0.722,-0.492432,-0.081543,0.785156,11.458015,-41.351145,9.78626
1,0.729,-0.472412,-0.078613,0.803955,13.160305,-37.381679,3.40458
1,0.734,-0.521484,-0.067871,0.885498,13.21374,-34.954198,-3.305344
1,0.74,-0.47583,-0.051025,0.780762,14.572519,-33.343511,-9.366412
1,0.745,-0.473633,-0.03418,0.778809,16.053435,-30.10687,-15.038168
1,0.751,-0.474854,-0.032227,0.755371,17.007634,-26.19084,-20.061069
1,0.756,-0.49707,-0.015381,0.744141,18.244275,-21.824427,-25.641221
1,0.761,-0.533691,0.009766,0.732178,18.465649,-16.51145,-30.534351
1,0.767,-0.533936,0.02124,0.724609,18.625954,-11.320611,-32.961832
1,0.773,-0.558105,0.038818,0.704102,18.328244,-6.381679,-33.633588
1,0.784,-0.610596,0.036621,0.687256,16.175573,5.29771,-32.007634
1,0.79,-0.688721,0.003418,0.655029,13.48855,14.328244,-31.70229
1,0.795,-0.736816,0.009766,0.606201,10.198473,23.503817,-31.78626
2,0.188,-0.313965,0.209961,1.161621,32.816794,-145.969466,40.839695
2,0.194,-0.348389,0.201904,1.130615,42.954198,-158.007634,43.725191
2,0.199,-0.301758,0.259766,1.095459,47.305344,-147.343511,44.21374
2,0.21,-0.32959,0.304688,1.073486,54.030534,-134.274809,50.908397
2,0.215,-0.342285,0.304443,1.013672,54.40458,-141.29771,54.343511
2,0.222,-0.344971,0.311768,1.008301,48.152672,-140.908397,57.519084
2,0.227,-0.365723,0.313721,0.982422,41.793893,-140.396947,60.954198
2,0.233,-0.361572,0.301025,0.927002,38.618321,-140.389313,63.977099
2,0.243,-0.338867,0.315674,0.869385,36.083969,-125.816794,69.236641
2,0.249,-0.343994,0.275391,0.813721,39.633588,-120.480916,71.847328
2,0.254,-0.334717,0.252686,0.804688,38.015267,-117.725191,72.969466
2,0.26,-0.344727,0.240234,0.772949,38.160305,-114.870229,73.290076
2,0.266,-0.270996,0.215088,0.570801,38.480916,-104.091603,72.839695
2,0.277,-0.871826,-0.160156,0.414795,140.679389,-35.343511,78.618321
2,0.282,-0.203369,0.119629,0.504883,86.221374,-70.732824,73.503817
2,0.288,-0.433594,0.217773,1.052979,1.435115,-112.427481,70.21374
2,0.293,-0.501953,0.28125,0.832275,-29.145038,-124.664122,65.671756
2,0.299,-0.375,0.155762,0.687256,-3.10687,-102.068702,65.679389
2,0.305,-0.40332,0.166016,0.842773,12.671756,-82.541985,66.167939
2,0.316,-0.377686,0.186035,0.729492,23.076336,-46.351145,63.549618
2,0.321,-0.408203,0.188965,0.616699,25.984733,-48.900763,62.603053
2,0.327,-0.411621,0.193359,0.667236,9.366412,-55.167939,61.564885
2,0.332,-0.431396,0.199463,0.644775,-4.854962,-59.374046,60.114504
2,0.338,-0.427979,0.188965,0.60376,-5.969466,-57.183206,58.618321
2,0.343,-0.435303,0.197021,0.606934,-2.465649,-48.923664,57.267176
2,0.35,-0.445557,0.185303,0.610596,2.206107,-36.251908,55.816794
2,0.355,-0.473145,0.205322,0.682373,3.114504,-23.305344,54.328244
2,0.36,-0.480957,0.199707,0.607666,5.824427,-16.503817,52.610687
2,0.366,-0.473877,0.213135,0.612305,-1.740458,-7.160305,50.732824
2,0.377,-0.497803,0.19873,0.603271,-6.152672,5.755725,47.351145
2,0.382,-0.490234,0.188477,0.577148,-5.519084,4.969466,45.320611
2,0.388,-0.477295,0.198975,0.612549,-11.717557,7.496183,43.358779
2,0.394,-0.480713,0.202881,0.5896,-14.267176,12.732824,41.832061
2,0.399,-0.500488,0.193359,0.603027,-14.183206,16.778626,39.290076
2,0.405,-0.501953,0.188721,0.621582,-15.282443,18.916031,36.916031
2,0.41,-0.506104,0.193848,0.61377,-17.557252,23.351145,34.755725
2,0.416,-0.515625,0.195801,0.588135,-18.167939,27.648855,32.267176
2,0.421,-0.545166,0.190918,0.592285,-18.763359,30.160305,29.366412
2,0.427,-0.562744,0.196289,0.588623,-20.580153,32.290076,26.374046
2,0.433,-0.589355,0.210938,0.593262,-21.717557,36.099237,23.236641
2,0.438,-0.610596,0.207031,0.580566,-22.824427,39.938931,19.923664
2,0.444,-0.63916,0.21582,0.582764,-23.305344,44.625954,16.442748
2,0.449,-0.669434,0.210938,0.56665,-23.870229,51.908397,12.503817
2,0.46,-0.769531,0.156494,0.465332,-22.015267,71.938931,-4.343511
2,0.465,-0.786621,0.170898,0.404053,-18.389313,79.305344,-8.984733
2,0.471,-0.718506,0.183838,0.369629,-18.0,82.167939,-11.076336
2,0.477,-0.439941,0.084473,0.277344,-18.648855,81.480916,-14.358779
2,0.483,0.083496,-0.162354,0.053955,-6.610687,74.770992,-27.274809
2,0.488,0.737793,0.064697,0.688965,8.374046,21.496183,-48.335878
2,0.494,1.299072,0.663086,1.477295,39.801527,-26.801527,-69.19084
2,0.499,0.751221,1.393555,1.999939,39.885496,-29.251908,-50.40458
2,0.51,-0.676025,0.882324,1.595703,-5.763359,3.641221,-54.358779
2,0.515,-0.320068,0.098389,1.019531,46.442748,150.122137,-42.290076
2,0.522,-0.576416,0.217529,1.150391,16.48855,141.282443,-31.793893
2,0.527,-0.695557,0.538574,1.109131,-45.290076,103.78626,-31.183206
2,0.533,-0.357422,0.316162,0.994873,-70.48855,105.717557,-31.748092
2,0.538,-0.193604,0.21875,1.101807,-63.251908,115.419847,-31.145038
2,0.549,0.136475,-0.057129,1.361328,-41.534351,148.801527,-44.80916
2,0.554,-0.043701,0.096924,1.159668,-55.885496,125.251908,-52.549618
2,0.561,-0.085205,0.208252,0.991455,-39.541985,98.183206,-52.862595
2,0.566,-0.189697,0.390137,0.932861,-35.862595,89.580153,-51.160305
2,0.572,-0.311523,0.684326,0.96582,-45.183206,95.526718,-44.10687
2,0.582,-0.325928,0.745361,0.996094,-32.137405,130.10687,-20.801527
2,0.588,-0.293457,0.608398,1.06665,-21.931298,139.335878,-15.740458
3,0.095,-0.345947,0.669434,0.999512,-47.267176,80.824427,-60.816794
3,0.101,-0.325195,0.645752,1.016602,-45.717557,92.129771,-71.671756
3,0.112,-0.433105,0.598633,1.14209,-38.137405,102.641221,-94.083969
3,0.117,-0.545898,0.717529,1.163086,-34.587786,109.541985,-103.328244
3,0.123,-0.552246,0.752197,1.166016,-30.068702,109.366412,-110.656489
3,0.128,-0.578857,0.749268,1.20166,-26.801527,105.549618,-118.557252
3,0.134,-0.592529,0.757568,1.280273,-22.19084,98.061069,-123.167939
3,0.145,-0.417969,0.4646,1.447754,-29.221374,87.305344,-117.633588
3,0.151,-0.376465,0.466309,1.441895,-26.992366,83.541985,-104.580153
3,0.156,-0.338135,0.747559,1.400635,-17.908397,80.59542,-95.465649
3,0.161,-0.311768,1.088379,1.373047,-11.320611,83.519084,-86.274809
3,0.167,-0.244141,1.300293,1.324463,-5.839695,80.778626,-79.938931
3,0.179,0.152344,1.064697,1.264648,-18.274809,52.763359,-63.137405
3,0.184,0.316162,0.885742,1.167969,-26.091603,41.435115,-54.312977
3,0.19,0.393311,0.822266,1.111084,-17.938931,36.656489,-47.900763
3,0.195,0.448486,0.836182,1.056885,-8.648855,37.183206,-40.015267
3,0.2,0.491943,0.89917,1.10498,-2.061069,41.038168,-33.038168
3,0.206,0.511475,0.911621,1.067627,12.603053,35.40458,-26.129771
3,0.211,0.544922,0.892578,1.08667,17.465649,24.80916,-19.870229
3,0.223,0.611084,0.787354,1.026611,2.862595,0.145038,-9.992366
3,0.229,0.645508,0.746094,0.977783,4.954198,-8.694656,-3.992366
3,0.234,0.6604,0.722656,0.965088,13.274809,-13.427481,2.137405
3,0.239,0.633789,0.726807,0.973633,18.916031,-19.977099,9.076336
3,0.245,0.593994,0.715088,0.982178,18.877863,-28.847328,15.526718
3,0.25,0.563477,0.694824,0.976074,16.412214,-40.068702,22.427481
3,0.262,0.498779,0.640137,0.966797,19.076336,-55.954198,36.885496
3,0.268,0.449463,0.621582,0.923096,22.931298,-62.648855,44.519084
3,0.273,0.43042,0.615479,0.894775,26.206107,-60.603053,51.78626
3,0.278,0.334961,0.603271,0.902344,32.854962,-66.251908,59.984733
3,0.284,0.25708,0.617432,0.93457,34.244275,-71.580153,68.053435
3,0.295,0.150635,0.590576,0.913818,27.396947,-81.89313,83.458015
3,0.301,0.102783,0.572998,0.921143,25.526718,-87.610687,91.427481
3,0.307,0.078125,0.531494,0.87915,26.824427,-91.129771,98.694656
3,0.312,0.052002,0.506836,0.873291,27.748092,-89.938931,105.183206
3,0.317,-0.005859,0.477051,0.856445,31.290076,-92.442748,110.923664
3,0.328,-0.119385,0.45166,0.912354,30.351145,-100.366412,120.10687
3,0.334,-0.180664,0.437988,0.92041,28.343511,-102.51145,123.877863
3,0.339,-0.216309,0.423828,0.947998,28.007634,-103.916031,127.358779
3,0.346,-0.273193,0.39624,0.932861,30.435115,-104.977099,130.015267
3,0.351,-0.294922,0.367188,0.918457,30.549618,-111.541985,131.312977
3,0.362,-0.33374,0.288086,0.907715,31.022901,-117.984733,131.687023
3,0.367,-0.347656,0.251221,0.882812,31.091603,-122.450382,129.854962
3,0.373,-0.350342,0.23291,0.866211,32.015267,-126.175573,126.832061
3,0.378,-0.367188,0.229736,0.857178,32.435115,-128.358779,123.587786
3,0.39,-0.411621,0.23291,0.860352,31.877863,-135.679389,116.969466
3,0.395,-0.423828,0.24292,0.868896,26.145038,-138.847328,113.70229
3,0.401,-0.426025,0.239746,0.824463,25.793893,-141.320611,110.816794
3,0.406,-0.432861,0.25708,0.865723,24.78626,-143.099237,108.282443
3,0.412,-0.451416,0.26001,0.869873,26.229008,-142.931298,107.0
3,0.422,-0.441406,0.252686,0.818604,23.992366,-150.572519,102.862595
3,0.429,-0.423584,0.245605,0.774414,22.412214,-153.114504,99.274809
3,0.434,-0.407715,0.209473,0.71875,24.068702,-152.633588,95.091603
3,0.44,-0.379639,0.192871,0.738281,23.80916,-146.320611,90.465649
3,0.445,-0.35791,0.16626,0.704102,27.679389,-142.274809,83.229008
3,0.451,-0.279785,0.138184,0.70874,25.015267,-143.465649,75.503817
3,0.461,-0.388672,0.180176,0.918213,53.427481,-150.251908,62.099237
3,0.467,-0.367676,0.165039,0.970947,45.618321,-155.305344,55.290076
3,0.473,-0.343018,0.178955,0.956299,42.267176,-158.244275,49.083969
3,0.479,-0.312988,0.206055,0.976807,53.221374,-152.717557,45.687023
3,0.484,-0.22168,0.208984,0.88208,64.78626,-141.396947,43.145038
