series,time,Class
0,0.001,1
0,0.007,1
0,0.013,1
0,0.019,1
0,0.025,1
0,0.03,1
0,0.036,1
0,0.041,1
0,0.046,1
0,0.052,1
0,0.058,1
0,0.064,1
0,0.069,1
0,0.075,1
0,0.08,1
0,0.085,1
0,0.091,1
0,0.096,1
0,0.103,1
0,0.108,1
0,0.114,1
0,0.119,1
0,0.124,1
0,0.13,1
0,0.135,1
0,0.141,1
0,0.147,1
0,0.152,1
0,0.158,1
0,0.163,1
0,0.169,1
0,0.174,1
0,0.18,1
0,0.186,1
0,0.191,1
0,0.197,1
0,0.202,1
0,0.208,1
0,0.213,1
0,0.219,1
0,0.224,1
0,0.23,1
0,0.236,1
0,0.241,1
0,0.247,1
0,0.252,1
0,0.258,1
0,0.263,1
0,0.268,1
0,0.275,1
0,0.28,1
0,0.286,1
0,0.291,1
0,0.297,1
0,0.302,1
0,0.307,1
0,0.314,1
0,0.319,1
0,0.325,1
0,0.33,1
0,0.336,1
0,0.341,1
0,0.346,1
0,0.352,1
0,0.358,1
0,0.364,1
0,0.369,1
0,0.375,1
0,0.38,1
0,0.385,1
0,0.391,1
0,0.396,1
0,0.403,1
0,0.408,1
0,0.413,1
0,0.419,1
0,0.424,1
0,0.43,1
0,0.435,1
0,0.442,1
0,0.447,1
0,0.452,1
0,0.458,1
0,0.463,1
0,0.469,1
0,0.474,1
0,0.48,1
0,0.486,1
0,0.491,1
0,0.497,1
0,0.502,1
0,0.508,1
0,0.513,1
0,0.519,1
0,0.524,1
0,0.53,1
0,0.536,1
0,0.541,1
0,0.547,1
0,0.552,1
0,0.558,1
0,0.563,1
0,0.568,1
0,0.575,1
0,0.58,1
0,0.586,1
0,0.591,1
0,0.597,1
0,0.602,1
0,0.607,1
0,0.614,1
0,0.619,1
0,0.625,1
0,0.63,1
0,0.636,1
0,0.641,1
0,0.646,1
0,0.652,1
0,0.658,1
0,0.664,1
0,0.669,1
0,0.674,1
0,0.68,1
0,0.685,1
0,0.691,1
0,0.696,1
0,0.703,1
0,0.708,1
0,0.713,1
0,0.719,1
0,0.724,1
0,0.73,1
0,0.735,1
0,0.742,1
0,0.747,1
0,0.752,1
0,0.758,1
0,0.763,1
0,0.769,1
0,0.774,1
0,0.78,1
0,0.786,1
0,0.791,1
0,0.797,1
0,0.802,1
0,0.808,1
0,0.813,1
0,0.819,1
0,0.824,1
0,0.83,1
0,0.836,1
0,0.841,1
0,0.847,1
0,0.852,1
0,0.858,1
0,0.869,1
0,0.875,1
0,0.88,1
0,0.886,1
0,0.891,1
0,0.897,1
0,0.902,1
0,0.907,1
0,0.919,1
0,0.925,1
0,0.93,1
0,0.936,1
0,0.941,1
0,0.946,1
0,0.952,1
0,0.958,1
0,0.964,1
0,0.969,1
0,0.98,1
0,0.985,1
0,0.991,1
0,0.997,1
0,1.003,1
0,1.008,1
0,1.013,1
0,1.019,1
0,1.024,1
0,1.035,1
0,1.042,1
0,1.047,1
0,1.052,1
0,1.058,1
0,1.063,1
0,1.074,1
0,1.08,1
0,1.086,1
0,1.091,1
0,1.097,1
0,1.102,1
0,1.108,1
0,1.113,1
0,1.125,1
0,1.13,1
0,1.136,1
0,1.141,1
0,1.147,1
0,1.152,1
0,1.163,1
0,1.169,1
0,1.175,1
0,1.18,1
0,1.191,1
0,1.197,1
0,1.202,1
0,1.207,1
0,1.219,1
0,1.225,1
0,1.23,1
0,1.236,1
0,1.241,1
0,1.246,1
0,1.258,1
0,1.264,1
0,1.269,1
0,1.275,1
