time,AccX1,AccY1,AccZ1,GyroX1,GyroY1,GyroZ1,AccX2,AccY2,AccZ2,GyroX2,GyroY2,GyroZ2,Class
1,-1952,-15804,-5640,655,-589,-165,-792,1392,14796,-981,1625,-148,2
6,-1908,-15764,-5608,652,-648,-139,-752,1512,14992,-1033,1473,-137,2
12,-1896,-15892,-5620,846,-679,-152,-996,1556,14940,-1092,1355,-165,2
17,-1852,-16012,-5292,722,-519,-150,-352,1460,13720,-1045,1771,-120,2
22,-2040,-15868,-5748,788,-742,-140,-1364,1480,15204,-1215,988,-160,2
28,-1936,-16068,-5568,646,-650,-157,-636,1492,14628,-1055,1149,-120,2
33,-1916,-16016,-5644,557,-621,-148,-672,1548,14848,-951,1191,-115,2
40,-1924,-15860,-5640,502,-647,-130,-892,1452,15100,-1001,1076,-122,2
45,-1948,-15892,-5716,549,-616,-110,-860,1448,14808,-986,1042,-114,2
51,-1996,-15912,-5496,452,-585,-117,-772,1520,14832,-956,1058,-140,2
56,-1908,-15844,-5532,608,-531,-101,-820,1532,14692,-937,1024,-150,2
61,-1900,-15836,-5540,603,-477,-111,-612,1640,14724,-868,1260,-124,2
67,-1956,-15952,-5532,373,-441,-121,-608,1516,14560,-696,1181,-99,2
72,-1788,-15816,-5616,309,-469,-91,-812,1572,14968,-696,1146,-137,2
78,-1704,-16004,-5656,350,-472,-104,-880,1688,14816,-799,947,-99,2
84,-1796,-15992,-5540,253,-502,-94,-800,1728,14664,-702,805,-112,2
90,-1720,-15888,-5412,158,-525,-70,-1008,1512,14772,-744,728,-111,2
100,-1868,-15956,-5152,91,-541,-47,-840,1444,14612,-650,609,-101,2
106,-1964,-15984,-5336,-5,-524,-109,-804,1272,14568,-583,603,-63,2
111,-2080,-15992,-5588,-50,-445,-123,-732,1308,14620,-490,436,-66,2
117,-2108,-15888,-5648,-55,-384,-138,-464,1464,14552,-403,358,-92,2
122,-2036,-15912,-5852,-78,-312,-161,-400,1472,14588,-251,312,-112,2
128,-2160,-15900,-5756,-138,-260,-175,-676,1520,14728,-234,269,-151,2
134,-2016,-15764,-5648,-180,-209,-198,-804,1232,14912,-210,214,-187,2
139,-1968,-15832,-5256,-291,-254,-190,-920,1112,14952,-271,188,-177,2
145,-2048,-15984,-5004,-406,-299,-212,-1220,1144,14956,-291,143,-184,2
150,-1996,-16108,-4916,-471,-387,-255,-1368,1048,15096,-336,11,-168,2
