series,time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class
0,0.991,0.051758,-1.22583,-0.294678,46.862595,9.328244,27.801527,1
0,0.997,0.062012,-1.266113,-0.30835,50.923664,6.748092,26.664122,1
0,1.003,0.070312,-1.275879,-0.299072,54.236641,3.435115,24.763359,1
0,1.008,0.08667,-1.287598,-0.266113,58.366412,5.465649,22.664122,1
0,1.013,0.053711,-1.303711,-0.266602,59.412214,4.633588,20.793893,1
0,1.019,0.012451,-1.278564,-0.330566,58.648855,2.068702,16.0,1
0,1.024,0.083496,-1.310303,-0.29248,63.358779,14.198473,14.656489,1
0,1.035,0.054199,-1.283203,-0.208496,69.496183,17.900763,8.244275,1
0,1.042,-0.033691,-1.269287,-0.159424,72.839695,21.480916,7.030534,1
0,1.047,-0.081543,-1.257812,-0.157227,75.389313,28.351145,6.587786,1
0,1.052,-0.123535,-1.249268,-0.151855,77.870229,34.862595,6.923664,1
0,1.058,-0.115234,-1.233398,-0.153564,79.885496,39.877863,7.389313,1
0,1.063,-0.090332,-1.240967,-0.187988,81.045802,41.312977,7.648855,1
0,1.074,-0.05835,-1.224609,-0.231689,83.656489,39.282443,7.618321,1
0,1.08,-0.044678,-1.20874,-0.290039,83.366412,38.709924,7.480916,1
0,1.086,-0.030518,-1.189941,-0.370605,82.709924,37.908397,6.78626,1
0,1.091,-0.013184,-1.142334,-0.508057,81.244275,39.671756,4.961832,1
0,1.097,0.016602,-1.101807,-0.624268,76.145038,39.839695,2.183206,1
0,1.102,0.054199,-1.038818,-0.76416,69.572519,38.938931,-0.519084,1
0,1.108,0.062012,-0.997314,-0.850586,60.725191,36.725191,-2.778626,1
0,1.113,0.080078,-0.951172,-0.904785,50.183206,34.267176,-4.854962,1
0,1.125,0.041992,-0.865234,-0.994873,27.022901,26.251908,-7.748092,1
0,1.13,-0.016113,-0.805664,-1.045898,14.961832,25.709924,-7.977099,1
0,1.136,-0.051025,-0.76709,-1.084229,1.709924,27.717557,-8.068702,1
0,1.141,-0.062256,-0.724854,-1.0979,-11.51145,29.335878,-8.412214,1
0,1.147,-0.05835,-0.714355,-1.102295,-24.59542,30.832061,-9.007634,1
0,1.152,-0.086914,-0.699951,-1.090088,-37.305344,32.694656,-9.40458,1
0,1.163,-0.109375,-0.727295,-1.072021,-63.664122,39.076336,-9.496183,1
0,1.169,-0.119873,-0.748047,-1.029785,-77.694656,42.618321,-9.21374,1
0,1.175,-0.127197,-0.786865,-1.001465,-90.038168,45.900763,-9.10687,1
0,1.18,-0.12207,-0.810059,-0.969482,-100.351145,48.351145,-8.732824,1
0,1.191,-0.088379,-0.888916,-0.887939,-121.282443,51.19084,-8.564885,1
0,1.197,-0.0896,-0.900391,-0.830078,-130.343511,51.992366,-9.167939,1
0,1.202,-0.074707,-0.932373,-0.750244,-137.732824,51.099237,-9.59542,1
0,1.207,-0.059082,-0.953369,-0.69043,-146.625954,48.022901,-9.969466,1
0,1.219,-0.029541,-1.031982,-0.591309,-159.175573,41.541985,-11.045802,1
0,1.225,-0.016602,-1.054932,-0.548584,-163.305344,37.717557,-11.977099,1
0,1.23,-0.011475,-1.062744,-0.519287,-166.007634,34.312977,-12.671756,1
0,1.236,0.009521,-1.109863,-0.472168,-169.664122,27.931298,-13.732824,1
0,1.241,0.009521,-1.127197,-0.446777,-171.748092,23.954198,-14.351145,1
0,1.246,0.019287,-1.151123,-0.419678,-172.183206,18.770992,-15.198473,1
0,1.258,0.009033,-1.166504,-0.352783,-170.618321,9.923664,-16.694656,1
0,1.264,0.017822,-1.178955,-0.286133,-169.366412,6.679389,-17.541985,1
0,1.269,0.015137,-1.216797,-0.283691,-166.687023,2.694656,-17.78626,1
0,1.275,-0.016113,-1.204834,-0.27124,-165.977099,-0.335878,-18.396947,1
0,1.28,-0.004639,-1.228271,-0.210693,-164.015267,-2.374046,-18.167939,1
0,1.291,0.024902,-1.276123,-0.188477,-165.229008,-7.091603,-16.198473,1
